id;type;title;relevance;image;location_type;coordinates;price;occupancy;description;Column1
urn:ngsi-ld:PoI:552;PoI;Azotea del Hotel Círculo de Bellas Artes;2;;Point;-3.710935,40.419049;gratis;sin límite;Azotea con vistas panorámicas de Madrid, ubicada en el Círculo de Bellas Artes, ideal para disfrutar de un cóctel mientras se contempla la ciudad.;
urn:ngsi-ld:PoI:553;PoI;Azotea del Hotel Urban;4;;Point;-3.702484,40.419232;gratis;sin límite;Azotea en el Hotel Urban, famosa por su elegante diseño y vistas impresionantes del centro de Madrid, ideal para una bebida tranquila.;
urn:ngsi-ld:PoI:554;PoI;Azotea del Hotel Santo Domingo;4;;Point;-3.711332,40.423215;gratis;sin límite;Azotea con una piscina y vistas espectaculares a la ciudad, situada en el Hotel Santo Domingo, perfecta para relajarse y disfrutar del entorno urbano.;
urn:ngsi-ld:PoI:555;PoI;Azotea del Hotel RIU Plaza España;2;;Point;-3.711000,40.423500;gratis;sin límite;Azotea en el Hotel RIU Plaza España, con vistas 360 grados de Madrid y un ambiente moderno y vibrante, ideal para tomar algo mientras se admira la ciudad.;
urn:ngsi-ld:PoI:556;PoI;Azotea del Hotel Meliá Madrid;3;;Point;-3.692705,40.423087;gratis;sin límite;Azotea en el Hotel Meliá, ofrece vistas panorámicas del centro de Madrid y un ambiente relajado para disfrutar de una comida o bebida.;
urn:ngsi-ld:PoI:557;PoI;Azotea del Hotel Axor;4;;Point;-3.637118,40.487561;gratis;sin límite;Azotea en el Hotel Axor, situada en el área de Barajas, ofrece vistas al skyline de Madrid y un espacio cómodo para relajarse.;
urn:ngsi-ld:PoI:558;PoI;Azotea del Hotel AC Atocha;4;;Point;-3.693500,40.406800;gratis;sin límite;Azotea en el Hotel AC Atocha, con vistas al parque del Retiro y al skyline de Madrid, ideal para relajarse después de un día explorando la ciudad.;
urn:ngsi-ld:PoI:559;PoI;Azotea del Hotel Only You;4;;Point;-3.702590,40.422059;gratis;sin límite;Azotea en el Hotel Only You, con un diseño chic y moderno, ideal para disfrutar de cócteles y tapas mientras se contempla el centro de Madrid.;
urn:ngsi-ld:PoI:560;PoI;Azotea del Hotel Room Mate Oscar;4;;Point;-3.704785,40.422892;gratis;sin límite;Azotea en el Hotel Room Mate Oscar, con vistas panorámicas del barrio de Chueca y un ambiente animado y elegante.;
urn:ngsi-ld:PoI:561;PoI;Azotea del Hotel H10 Villa de la Reina;4;;Point;-3.704950,40.419842;gratis;sin límite;Azotea del Hotel H10 Villa de la Reina, con vistas a la Gran Vía y un ambiente relajado, ideal para disfrutar de una bebida al aire libre.;
urn:ngsi-ld:PoI:562;PoI;Azotea del Hotel Emperador;3;;Point;-3.705739,40.420087;gratis;sin límite;Azotea en el Hotel Emperador, ofrece una piscina y vistas a la Gran Vía, perfecta para relajarse durante el día y disfrutar de la ciudad por la noche.;
urn:ngsi-ld:PoI:563;PoI;Azotea del Hotel Exe Moncloa;4;;Point;-3.711309,40.435891;gratis;sin límite;Azotea en el Hotel Exe Moncloa, con vistas al horizonte de Madrid y un ambiente moderno y acogedor para disfrutar de cócteles y aperitivos.;
urn:ngsi-ld:PoI:564;PoI;Azotea del Hotel Iberostar Las Letras;4;;Point;-3.703517,40.418364;gratis;sin límite;Azotea en el Hotel Iberostar Las Letras, con vistas al centro de Madrid y un ambiente relajado, ideal para disfrutar de una bebida y las vistas urbanas.;
urn:ngsi-ld:PoI:565;PoI;Azotea del Hotel Hospes Puerta de Alcalá;3;;Point;-3.688372,40.423423;gratis;sin límite;Azotea en el Hotel Hospes Puerta de Alcalá, con vistas al Parque del Retiro y una elegante terraza para relajarse y disfrutar de una bebida.;
urn:ngsi-ld:PoI:566;PoI;Azotea del Hotel Melia Castilla;3;;Point;-3.704710,40.469317;gratis;sin límite;Azotea en el Hotel Melia Castilla, con vistas al distrito financiero y un ambiente relajado para disfrutar de cócteles y aperitivos.;
urn:ngsi-ld:PoI:567;PoI;Azotea del Hotel NH Collection Madrid Colón;4;;Point;-3.692485,40.428856;gratis;sin límite;Azotea en el Hotel NH Collection Madrid Colón, con vistas a la Plaza de Colón y un ambiente moderno, ideal para disfrutar de la ciudad desde las alturas.;
urn:ngsi-ld:PoI:174;PoI;Autovía del Suroeste;5;;Point;-3.857264,40.368780;0€;500;Importante vía de comunicación que conecta estos municipios con el centro de Madrid y otras áreas metropolitanas.;
urn:ngsi-ld:PoI:171;PoI;Avenida de la Aviación;5;;Point;-3.831529,40.346626;0€;500;Importante vía de comunicación que conecta estos municipios con el centro de Madrid y otras áreas metropolitanas.;
urn:ngsi-ld:PoI:174;PoI;Autovía del Suroeste;5;;Point;-3.857264,40.368780;0€;500;Importante vía de comunicación que conecta estos municipios con el centro de Madrid y otras áreas metropolitanas.;
urn:ngsi-ld:PoI:175;PoI;Acuario de Madrid;4;;Point;-3.693553,40.407249;15€;200;Un lugar fascinante para descubrir la vida marina y disfrutar de actividades educativas y de entretenimiento.;
urn:ngsi-ld:PoI:176;PoI;Aeropuerto Adolfo Suárez Madrid-Barajas;1;;Point;-3.564481,40.472276;varios precios;sin límite;Principal aeropuerto de Madrid, con múltiples conexiones internacionales y servicios para pasajeros.;
urn:ngsi-ld:PoI:177;PoI;Alcalá de Henares;3;;Point;-3.367958,40.481980;gratis;sin límite;Ciudad histórica conocida por su universidad y su rica herencia cultural, lugar de nacimiento de Cervantes.;
urn:ngsi-ld:PoI:178;PoI;Almudena Cathedral;2;;Point;-3.714312,40.415778;gratis;1000;Impresionante catedral neogótica con vistas al Palacio Real, un lugar emblemático para la fe y la cultura.;
urn:ngsi-ld:PoI:179;PoI;Andén 0;4;;Point;-3.702561,40.426582;2€;50;Museo del Metro de Madrid, que ofrece una visión del transporte subterráneo de la ciudad a través de estaciones restauradas.;
urn:ngsi-ld:PoI:180;PoI;Antón Martín;3;;Point;-3.701870,40.411789;gratis;sin límite;Barrio vibrante conocido por su vida nocturna, teatros y mercados, además de su riqueza histórica y cultural.;
urn:ngsi-ld:PoI:181;PoI;Arco de la Victoria;2;;Point;-3.726499,40.438130;gratis;sin límite;Monumento emblemático construido para conmemorar la victoria en la Guerra Civil Española, situado en la Ciudad Universitaria.;
urn:ngsi-ld:PoI:182;PoI;Atocha;1;;Point;-3.691940,40.407223;varios precios;sin límite;La principal estación de tren de Madrid, con conexiones de alta velocidad a diversas ciudades españolas y servicios internacionales.;
urn:ngsi-ld:PoI:183;PoI;Avenida de América;3;;Point;-3.669054,40.438989;0€;500;Gran vía de comunicación y transporte con múltiples opciones de conexiones y servicios en el centro de Madrid.;
urn:ngsi-ld:PoI:184;PoI;Avenida de la Gran Vía;4;;Point;-3.703670,40.420410;gratis;sin límite;Una de las calles más icónicas de Madrid, conocida por sus edificios históricos y centros comerciales.;
urn:ngsi-ld:PoI:185;PoI;Avenida de los Reyes Católicos;3;;Point;-3.723927,40.444185;gratis;sin límite;Vía importante en el barrio de Moncloa, que conecta varios puntos de interés y áreas residenciales.;
urn:ngsi-ld:PoI:186;PoI;Antón Martín;3;;Point;-3.701870,40.411789;gratis;sin límite;Barrio vibrante conocido por su vida nocturna, teatros y mercados, además de su riqueza histórica y cultural.;
urn:ngsi-ld:PoI:187;PoI;Avenida de la Albufera;4;;Point;-3.665580,40.399643;gratis;sin límite;Importante avenida que cruza varios distritos de Madrid, conocida por sus comercios y zonas residenciales.;
urn:ngsi-ld:PoI:188;PoI;Avenida de Valladolid;4;;Point;-3.737678,40.450781;gratis;sin límite;Vía importante en el norte de Madrid, con una mezcla de espacios comerciales y residenciales.;
urn:ngsi-ld:PoI:189;PoI;Avenida de Portugal;4;;Point;-3.733056,40.410481;gratis;sin límite;Vía destacada que conecta con varios puntos de interés y ofrece acceso a zonas verdes y recreativas.;
urn:ngsi-ld:PoI:190;PoI;Avenida del Mediterráneo;5;;Point;-3.673745,40.423685;gratis;sin límite;Vía principal en Madrid, conocida por su conexión con zonas residenciales y comerciales.;
