id,type,title,relevance,image,location_type,coordinates,price,description,capacity,occupancy
urn:ngsi-ld:PoI:0,PoI,Pastelería Celia,4,,Point,"-3.708912,40.419877",0€,"Pastelería en el barrio de Chueca, conocida por sus postres innovadores y la calidad de sus ingredientes.",66,30
urn:ngsi-ld:PoI:1,PoI,Dama de Baza,3,,Point,"-3.695370,40.410897",0€,"Escultura íbera ubicada en el Museo Arqueológico Nacional, famosa por su intrincado diseño y su importancia histórica.",1171,1068
urn:ngsi-ld:PoI:2,PoI,Avenida de Andalucía,5,,Point,"-3.692827,40.417684",0€,"Vía importante que conecta con diferentes zonas de Madrid, conocida por su función en el tráfico y servicios.",1968,506
urn:ngsi-ld:PoI:3,PoI,Restaurante La Oveja Negra,3,,Point,"-3.711142,40.418345",0€,"Restaurante en el barrio de Chamartín, conocido por su cocina española contemporánea y ambiente acogedor.",578,399
urn:ngsi-ld:PoI:4,PoI,Hospital Santa Cristina,3,,Point,"-3.706879,40.426560",0€,"Hospital de mediana complejidad, conocido por su atención en áreas generales y especializadas.",1679,1212
urn:ngsi-ld:PoI:5,PoI,Museo del Prado,1,mdprado.jpeg,Point,"-3.692127,40.41378",15€,"El Museo del Prado es el museo más importante de España y uno de los más prestigiosos del mundo. Alberga una extensa colección de obras de arte europeas que datan del siglo XII al siglo XIX. Destacan las pinturas de Velázquez, Goya, El Bosco, Tiziano y Rubens.",1171,870
urn:ngsi-ld:PoI:6,PoI,Tasca La Boquería,4,,Point,"-3.709492,40.417604",0€,Tasca en el barrio de Malasaña conocida por sus tapas caseras y ambiente acogedor.,578,78
urn:ngsi-ld:PoI:7,PoI,Instituto de Física Aplicada,4,,Point,"-3.725439,40.436215",0€,"Centro de investigación dedicado al estudio y aplicación de la física, con proyectos en áreas como óptica, electromagnetismo y materiales.",1299,384
urn:ngsi-ld:PoI:8,PoI,Museo de América,3,,Point,"-3.721303,40.432241",3€,El Museo de América alberga una impresionante colección de arte y objetos de las culturas precolombinas de América. Es un lugar fascinante para aprender sobre la historia y las tradiciones del continente americano.,1171,745
urn:ngsi-ld:PoI:9,PoI,Restaurante La Candelaria,4,,Point,"-3.707251,40.420512",0€,Restaurante en el barrio de Chueca que ofrece cocina tradicional española con un toque moderno.,578,272
