id;type;title;relevance;image;location_type;coordinates;price;description;capacity;occupancy
urn:ngsi-ld:PoI:Naples:000;PoI;FIWARE Summit 2024;0;fiware.jpg;Point;14.185766,40.82587;0€;The FIWARE Global Summit brings together a passionate community eager to share knowledge, develop impactful solutions, and create a lasting difference in the ecosystem. At the 2024 edition, we continue to build on our collective journey, uniting with industry leaders, innovators, and communities to transform the vast wealth of data into actionable strategies. Together, we are building a future shaped by our shared mission and achievements. The FGS2024 is located in 54 Viale John Fitzgerald Kennedy 80125 Napoli Italy.;1000;681
urn:ngsi-ld:PoI:Naples:001;PoI;Pompeii Archaeological Site;0;pompei.jpg;Point;14.487198,40.749351;16€;Pompeii is a vast archaeological site that once was a thriving Roman city. It was buried under meters of ash after the catastrophic eruption of Mount Vesuvius in 79 A.D.;30000;12000
urn:ngsi-ld:PoI:Naples:002;PoI;Naples National Archaeological Museum;0;naples_museum.jpg;Point;14.251356,40.855622;15€;This museum houses one of the most extensive collections of Greco-Roman antiquities, including the Farnese Marbles and the mosaics from Pompeii.;5000;3200
urn:ngsi-ld:PoI:Naples:003;PoI;Castel dell'Ovo;0;castell_ovo.jpg;Point;14.247297,40.829796;0€;Castel dell'Ovo is the oldest standing fortification in Naples, offering panoramic views of the Gulf of Naples. It is a symbol of the city and a popular spot for tourists.;2000;1300
urn:ngsi-ld:PoI:Naples:004;PoI;Royal Palace of Naples;3;naples_royal_palace.jpg;Point;14.253093,40.838333;10€;The Royal Palace of Naples is a historic palace that served as a residence for the Spanish and later the Bourbon monarchy. It features lavish interiors and beautiful gardens.;6000;2100
urn:ngsi-ld:PoI:Naples:005;PoI;Catacombs of San Gennaro;2;;Point;14.247311,40.868643;9€;The Catacombs of San Gennaro are an extensive underground network of early Christian burial sites, rich with frescoes and tombs dating back to the 2nd century A.D.;3000;800
urn:ngsi-ld:PoI:Naples:006;PoI;Piazza del Plebiscito;1;;Point;14.249183,40.836631;0€;Piazza del Plebiscito is the main square of Naples, surrounded by important landmarks like the Royal Palace and the Church of San Francesco di Paola. It is a cultural and historical hub.;25000;5000
urn:ngsi-ld:PoI:Naples:007;PoI;Teatro di San Carlo;1;;Point;14.249937,40.837436;20€;The Teatro di San Carlo is one of the oldest and most prestigious opera houses in Europe. It is renowned for its exceptional acoustics and historical significance.;3000;1500
urn:ngsi-ld:PoI:Naples:008;PoI;Via San Gregorio Armeno;3;;Point;14.254683,40.849135;0€;This street is famous for its artisan workshops specializing in handcrafted nativity scenes. It is a vibrant part of Naples’ cultural heritage.;1000;400
urn:ngsi-ld:PoI:Naples:009;PoI;Mount Vesuvius;0;vesuvius.jpg;Point;14.426028,40.822383;10€;Mount Vesuvius is an iconic volcano, famous for the eruption that destroyed Pompeii. It offers visitors the opportunity to hike to the crater and enjoy stunning views of the Bay of Naples.;5000;2300
urn:ngsi-ld:PoI:Naples:010;PoI;Spaccanapoli;2;;Point;14.252297,40.850464;0€;Spaccanapoli is a long, narrow street that cuts through the heart of the historic center of Naples, lined with churches, shops, and cafes. It is one of the most vibrant and characteristic streets in the city.;5000;2200
urn:ngsi-ld:PoI:Naples:011;PoI;Galleria Umberto I;2;;Point;14.248445,40.837273;0€;Galleria Umberto I is a public shopping gallery and one of Naples' most famous landmarks, featuring stunning architecture and a vibrant atmosphere.;2000;1200
urn:ngsi-ld:PoI:Naples:012;PoI;Capodimonte Museum;1;;Point;14.250739,40.873692;12€;The Capodimonte Museum houses an extensive collection of Neapolitan art, as well as masterpieces by artists like Raphael, Titian, and Caravaggio.;3000;1500
urn:ngsi-ld:PoI:Naples:013;PoI;Castel Nuovo (Maschio Angioino);1;castell_nuovo.jpg;Point;14.254413,40.838347;6€;Castel Nuovo, also known as Maschio Angioino, is a medieval fortress that stands as a symbol of Naples' history. It now hosts the Civic Museum.;4000;1800
urn:ngsi-ld:PoI:Naples:014;PoI;Naples Underground;2;;Point;14.252951,40.850616;10€;Naples Underground is a fascinating network of tunnels and caves beneath the city, offering a glimpse into Naples' ancient past and its complex history.;1500;900
urn:ngsi-ld:PoI:Naples:015;PoI;Chiesa del Gesù Nuovo;1;;Point;14.250736,40.847322;0€;The Church of Gesù Nuovo is one of the most important Baroque churches in Naples, known for its distinctive facade and richly decorated interior.;1000;600
urn:ngsi-ld:PoI:Naples:016;PoI;Santa Chiara Monastery;2;;Point;14.249992,40.848184;6€;The Santa Chiara Monastery is a large religious complex famous for its beautiful cloister decorated with hand-painted majolica tiles.;1500;700
urn:ngsi-ld:PoI:Naples:017;PoI;Certosa di San Martino;1;;Point;14.243017,40.846456;8€;The Certosa di San Martino is a former monastery now functioning as a museum, offering spectacular views over Naples and the Bay of Naples.;2000;1000
urn:ngsi-ld:PoI:Naples:018;PoI;Cappella Sansevero;1;;Point;14.253233,40.847875;8€;The Cappella Sansevero is a small chapel renowned for its stunning Baroque art, including the famous "Veiled Christ" sculpture.;800;500
urn:ngsi-ld:PoI:Naples:019;PoI;Villa Comunale;2;;Point;14.239456,40.830282;0€;Villa Comunale is a beautiful seaside park in Naples, ideal for relaxing walks and offering stunning views of the bay. It also hosts the Anton Dohrn Aquarium.;5000;1500
urn:ngsi-ld:PoI:Naples:020;PoI;San Domenico Maggiore;1;;Point;14.253017,40.849683;0€;San Domenico Maggiore is a Gothic church in Naples, notable for its historical significance and its collection of Renaissance artworks.;1200;700
